Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,IRGA detector temperature,IRGA source temperature,Battery voltage,Date,Time
W M,2019,1,9,12,19,53,44355,40773,649.95,40.1,15.12,26.4,1020,39.9,40.4,11,1/9/2019,12:19 PM
W M,2019,1,9,12,49,53,44355,40639,684.57,40.1,15.42,26.72,1019,39.9,40.3,11.5,1/9/2019,12:49 PM
W M,2019,1,9,13,19,53,44355,40812,642.77,40.1,15.5,27,1018,39.9,40.4,11.1,1/9/2019,1:19 PM
W M,2019,1,9,13,49,53,44355,40953,608.6,40.1,15.46,27.16,1017,39.9,40.3,11,1/9/2019,1:49 PM
W M,2019,1,9,14,19,53,44355,40872,629.2,40.1,15.37,27.28,1016,39.8,40.3,11.2,1/9/2019,2:19 PM
W M,2019,1,9,14,49,53,44355,40657,683.42,40.1,15.45,27.36,1015,39.8,40.3,11,1/9/2019,2:49 PM
W M,2019,1,9,15,19,53,44355,40546,713.18,40.1,15.29,27.4,1015,39.9,40.3,11.1,1/9/2019,3:19 PM
W M,2019,1,9,15,49,53,44355,41555,473.69,40.1,15.13,27.44,1014,39.9,40.3,11.8,1/9/2019,3:49 PM
W M,2019,1,9,16,19,53,44355,40996,601.75,40.1,15.13,27.44,1013,39.9,40.3,12,1/9/2019,4:19 PM
W M,2019,1,9,16,49,53,44355,41154,563.99,40.1,14.77,27.48,1013,39.8,40.2,11.9,1/9/2019,4:49 PM
W M,2019,1,9,17,19,53,44355,41555,475.06,40.1,14.57,27.48,1013,39.9,40.3,11.7,1/9/2019,5:19 PM
W M,2019,1,10,10,19,54,44355,41462,490.29,40.1,10.98,22.72,1020,39.8,40.4,11.1,1/10/2019,10:19 AM
W M,2019,1,10,10,49,54,44355,41452,492.36,40.1,11.53,23.92,1021,39.8,40.4,11.3,1/10/2019,10:49 AM
W M,2019,1,10,11,19,54,44355,41598,460.02,40.1,11.44,24.72,1021,39.8,40.4,11.2,1/10/2019,11:19 AM
W M,2019,1,10,11,49,54,44355,41191,550.24,40.1,11.28,25.24,1021,39.9,40.4,11.1,1/10/2019,11:49 AM
W M,2019,1,10,12,19,54,44355,41757,427.74,40.1,10.9,25.48,1020,39.7,40.3,11.2,1/10/2019,12:19 PM
W M,2019,1,10,12,49,54,44355,41502,483.68,40.1,11.04,25.68,1019,39.8,40.4,11.2,1/10/2019,12:49 PM
W M,2019,1,10,13,19,54,44355,41557,471.79,40.1,10.96,25.84,1018,39.9,40.3,11.7,1/10/2019,1:19 PM
W M,2019,1,10,13,49,54,44355,41499,485.07,40.1,11.21,25.92,1017,39.9,40.4,11.8,1/10/2019,1:49 PM
W M,2019,1,10,14,19,54,44355,41138,566.94,40.1,11.26,26,1016,39.8,40.5,11.6,1/10/2019,2:19 PM
W M,2019,1,10,14,49,54,44355,40940,615.28,40.1,11.32,26.08,1015,39.9,40.4,12,1/10/2019,2:49 PM
W M,2019,1,10,15,19,54,44355,40796,650.67,40.1,11.32,26.08,1014,39.9,40.3,11.6,1/10/2019,3:19 PM
W M,2019,1,10,16,19,54,44355,41049,590.21,40.1,11.06,25.44,1013,39.8,40.3,12,1/10/2019,4:19 PM
W M,2019,1,10,16,49,54,44355,41402,509.6,40.1,11.04,25.68,1013,39.9,40.4,11.9,1/10/2019,4:49 PM
W M,2019,1,10,17,19,54,44355,41318,528.05,40.1,10.91,25.76,1013,39.8,40.4,12,1/10/2019,5:19 PM
W M,2019,1,11,9,49,54,44355,41728,432.81,40.1,9.55,21.4,1022,39.8,40.3,11.5,1/11/2019,9:49 AM
W M,2019,1,11,10,19,54,44355,41694,439.73,40.1,10.01,22.6,1022,39.8,40.4,11.2,1/11/2019,10:19 AM
W M,2019,1,11,10,49,54,44355,41563,466.89,40.1,10.21,23.4,1023,39.9,40.4,11.1,1/11/2019,10:49 AM
W M,2019,1,11,11,19,54,44355,41536,473.16,40.1,10.52,23.88,1022,39.9,40.3,11.5,1/11/2019,11:19 AM
W M,2019,1,11,11,49,54,44355,41520,477.18,40.1,10.82,24.32,1022,39.8,40.4,11.9,1/11/2019,11:49 AM
W M,2019,1,11,12,19,54,44355,41129,564.9,40.1,10.95,24.76,1021,39.8,40.3,12,1/11/2019,12:19 PM
W M,2019,1,11,12,49,54,44355,41016,592.41,40.1,11.11,25,1020,39.8,40.4,11.9,1/11/2019,12:49 PM
W M,2019,1,11,13,19,54,44355,40908,618.98,40.1,11.28,25.24,1019,39.8,40.4,12.1,1/11/2019,1:19 PM
W M,2019,1,11,13,49,54,44355,41222,545.96,40.1,11.6,25.44,1018,39.9,40.4,12.1,1/11/2019,1:49 PM
W M,2019,1,11,14,19,54,44355,41002,594.7,40.1,11.81,26.24,1021,39.9,40.4,10.6,1/11/2019,2:19 PM
W M,2019,1,11,14,49,54,44355,40963,604.55,40.1,11.83,26.8,1020,39.8,40.4,10.8,1/11/2019,2:49 PM
W M,2019,1,11,15,19,54,44355,41106,571.53,40.1,12.06,27.12,1020,39.8,40.3,10.7,1/11/2019,3:19 PM
